Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_005,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 01.18.46.966 下午,Total Frames in Take,2158,Total Exported Frames,2158,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.001948,0.905399,-0.004147,0.424538,1.743088,0.538060,-6.169259,0.001330
1,0.008333,-0.001920,0.905385,-0.004237,0.424566,1.742708,0.538072,-6.168877,0.001345
2,0.016667,-0.001932,0.905384,-0.004362,0.424567,1.742329,0.538064,-6.168456,0.001329
3,0.025000,-0.001894,0.905374,-0.004454,0.424588,1.741952,0.538068,-6.168084,0.001344
4,0.033333,-0.001834,0.905370,-0.004545,0.424596,1.741578,0.538091,-6.167727,0.001371
5,0.041667,-0.001799,0.905350,-0.004658,0.424636,1.741190,0.538087,-6.167355,0.001362
6,0.050000,-0.001793,0.905363,-0.004837,0.424606,1.740796,0.538084,-6.166926,0.001351
7,0.058333,-0.001779,0.905374,-0.004956,0.424583,1.740408,0.538113,-6.166546,0.001361
8,0.066667,-0.001730,0.905369,-0.005036,0.424593,1.740041,0.538132,-6.166193,0.001371
9,0.075000,-0.001638,0.905345,-0.005185,0.424643,1.739631,0.538139,-6.165787,0.001361
10,0.083333,-0.001598,0.905327,-0.005364,0.424679,1.739223,0.538131,-6.165382,0.001356
11,0.091667,-0.001602,0.905342,-0.005446,0.424646,1.738845,0.538133,-6.164973,0.001347
12,0.100000,-0.001534,0.905335,-0.005489,0.424659,1.738445,0.538132,-6.164587,0.001364
13,0.108333,-0.001407,0.905313,-0.005562,0.424707,1.738007,0.538150,-6.164174,0.001355
14,0.116667,-0.001385,0.905323,-0.005729,0.424683,1.737618,0.538219,-6.163787,0.001334
15,0.125000,-0.001453,0.905320,-0.005780,0.424688,1.737198,0.538217,-6.163373,0.001340
16,0.133333,-0.001452,0.905319,-0.005845,0.424690,1.736783,0.538221,-6.162955,0.001348
17,0.141667,-0.001403,0.905310,-0.005997,0.424708,1.736351,0.538221,-6.162521,0.001328
18,0.150000,-0.001390,0.905307,-0.006034,0.424713,1.735935,0.538230,-6.162130,0.001333
19,0.158333,-0.001445,0.905319,-0.006044,0.424687,1.735476,0.538216,-6.161689,0.001338
20,0.166667,-0.001377,0.905281,-0.006196,0.424765,1.735008,0.538218,-6.161240,0.001360
21,0.175000,,,,,,,,
22,0.183333,-0.001375,0.905274,-0.006185,0.424781,1.734146,0.538219,-6.160420,0.001365
23,0.191667,-0.001429,0.905264,-0.006176,0.424801,1.733676,0.538202,-6.159933,0.001354
24,0.200000,-0.001775,0.905532,-0.006652,0.424223,1.733731,0.538522,-6.159433,0.001308
25,0.208333,-0.001813,0.905762,-0.006458,0.423734,1.733674,0.538450,-6.159161,0.001013
26,0.216667,-0.001752,0.905522,-0.006652,0.424244,1.732761,0.538502,-6.158564,0.001282
27,0.225000,-0.001795,0.905504,-0.006631,0.424281,1.732232,0.538441,-6.158068,0.001238
28,0.233333,-0.001828,0.905502,-0.006572,0.424287,1.731771,0.538429,-6.157611,0.001263
29,0.241667,-0.001815,0.905495,-0.006512,0.424304,1.731317,0.538423,-6.157163,0.001285
30,0.250000,-0.001810,0.905485,-0.006532,0.424324,1.730781,0.538396,-6.156641,0.001223
31,0.258333,-0.001871,0.905483,-0.006449,0.424329,1.730308,0.538386,-6.156182,0.001257
32,0.266667,-0.001940,0.905491,-0.006325,0.424314,1.729851,0.538417,-6.155711,0.001293
33,0.275000,-0.001991,0.905474,-0.006237,0.424352,1.729327,0.538354,-6.155169,0.001260
34,0.283333,-0.002145,0.905487,-0.006162,0.424325,1.728803,0.538317,-6.154685,0.001263
35,0.291667,-0.002207,0.905465,-0.006169,0.424369,1.728295,0.538321,-6.154206,0.001286
36,0.300000,-0.002231,0.905448,-0.006019,0.424409,1.727712,0.538268,-6.153684,0.001301
37,0.308333,-0.002327,0.905461,-0.005865,0.424382,1.727104,0.538182,-6.153153,0.001254
38,0.316667,-0.002361,0.905448,-0.005752,0.424412,1.726591,0.538145,-6.152674,0.001282
39,0.325000,-0.002416,0.905424,-0.005657,0.424464,1.726050,0.538115,-6.152133,0.001264
40,0.333333,-0.002652,0.905464,-0.005465,0.424380,1.725504,0.538040,-6.151567,0.001264
41,0.341667,-0.002646,0.905461,-0.005406,0.424387,1.724983,0.538044,-6.151078,0.001294
42,0.350000,-0.002637,0.905430,-0.005311,0.424453,1.724440,0.537991,-6.150557,0.001271
43,0.358333,-0.002834,0.905453,-0.005134,0.424406,1.723865,0.537902,-6.149985,0.001263
44,0.366667,-0.002869,0.905416,-0.005051,0.424486,1.723293,0.537864,-6.149463,0.001262
45,0.375000,-0.002963,0.905389,-0.004752,0.424547,1.722724,0.537817,-6.148922,0.001273
46,0.383333,-0.003121,0.905414,-0.004600,0.424493,1.722116,0.537743,-6.148355,0.001264
47,0.391667,-0.003176,0.905380,-0.004485,0.424566,1.721510,0.537676,-6.147817,0.001276
48,0.400000,-0.003321,0.905393,-0.004300,0.424540,1.720874,0.537546,-6.147244,0.001285
49,0.408333,-0.003455,0.905412,-0.004263,0.424498,1.720326,0.537502,-6.146678,0.001275
50,0.416667,-0.003466,0.905387,-0.004172,0.424552,1.719744,0.537484,-6.146142,0.001263
51,0.425000,-0.003631,0.905391,-0.003954,0.424545,1.719163,0.537441,-6.145572,0.001291
52,0.433333,-0.003730,0.905383,-0.003899,0.424561,1.718556,0.537380,-6.145010,0.001254
53,0.441667,-0.003762,0.905350,-0.003730,0.424632,1.717961,0.537291,-6.144479,0.001252
54,0.450000,-0.003906,0.905365,-0.003614,0.424601,1.717334,0.537166,-6.143867,0.001275
55,0.458333,-0.003914,0.905331,-0.003535,0.424673,1.716720,0.537110,-6.143319,0.001237
56,0.466667,-0.003973,0.905324,-0.003340,0.424690,1.716136,0.537055,-6.142784,0.001264
57,0.475000,-0.004172,0.905344,-0.003185,0.424647,1.715537,0.536957,-6.142173,0.001284
58,0.483333,-0.004221,0.905314,-0.003148,0.424711,1.714970,0.536912,-6.141623,0.001289
59,0.491667,-0.004361,0.905304,-0.002977,0.424730,1.714348,0.536845,-6.141080,0.001300
60,0.500000,-0.004489,0.905315,-0.002908,0.424707,1.713720,0.536745,-6.140482,0.001302
61,0.508333,-0.004415,0.905289,-0.002968,0.424763,1.713141,0.536725,-6.139946,0.001282
62,0.516667,-0.004427,0.905275,-0.002935,0.424793,1.712538,0.536672,-6.139388,0.001249
63,0.525000,-0.004519,0.905271,-0.002887,0.424800,1.711924,0.536577,-6.138775,0.001263
64,0.533333,-0.004576,0.905257,-0.002844,0.424829,1.711318,0.536524,-6.138235,0.001255
65,0.541667,-0.004605,0.905230,-0.002754,0.424887,1.710756,0.536458,-6.137697,0.001262
66,0.550000,-0.004697,0.905240,-0.002686,0.424866,1.710177,0.536349,-6.137102,0.001290
67,0.558333,-0.004679,0.905208,-0.002691,0.424935,1.709607,0.536361,-6.136558,0.001282
68,0.566667,-0.004780,0.905195,-0.002771,0.424961,1.708969,0.536270,-6.135974,0.001256
69,0.575000,-0.004803,0.905202,-0.002726,0.424946,1.708366,0.536196,-6.135432,0.001265
70,0.583333,-0.004757,0.905163,-0.002752,0.425028,1.707786,0.536137,-6.134882,0.001278
71,0.591667,-0.004713,0.905146,-0.002884,0.425064,1.707198,0.536144,-6.134316,0.001256
72,0.600000,-0.004774,0.905152,-0.002927,0.425050,1.706580,0.536088,-6.133743,0.001238
73,0.608333,-0.004722,0.905135,-0.002940,0.425088,1.706047,0.536034,-6.133203,0.001272
74,0.616667,-0.004703,0.905107,-0.002980,0.425147,1.705494,0.535988,-6.132662,0.001288
75,0.625000,-0.004737,0.905121,-0.003041,0.425118,1.704910,0.535916,-6.132082,0.001286
76,0.633333,-0.004660,0.905084,-0.003162,0.425195,1.704297,0.535906,-6.131518,0.001283
77,0.641667,-0.004617,0.905066,-0.003285,0.425233,1.703739,0.535863,-6.130982,0.001273
78,0.650000,-0.004602,0.905051,-0.003366,0.425266,1.703166,0.535822,-6.130435,0.001248
79,0.658333,-0.004461,0.905019,-0.003546,0.425333,1.702565,0.535811,-6.129845,0.001247
80,0.666667,-0.004397,0.904980,-0.003678,0.425416,1.701982,0.535826,-6.129313,0.001274
81,0.675000,-0.004348,0.904952,-0.003772,0.425476,1.701393,0.535773,-6.128744,0.001223
82,0.683333,-0.004328,0.904945,-0.003741,0.425490,1.700837,0.535733,-6.128178,0.001260
83,0.691667,-0.004317,0.905143,-0.003569,0.425071,1.700712,0.535629,-6.127812,0.001022
84,0.700000,-0.004238,0.904892,-0.003985,0.425602,1.699700,0.535677,-6.127072,0.001284
85,0.708333,-0.004249,0.904900,-0.004160,0.425584,1.699147,0.535702,-6.126523,0.001287
86,0.716667,-0.004060,0.904848,-0.004352,0.425694,1.698548,0.535715,-6.125967,0.001252
87,0.725000,-0.003987,0.904854,-0.004497,0.425681,1.697976,0.535735,-6.125368,0.001279
88,0.733333,-0.003881,0.904814,-0.004623,0.425765,1.697371,0.535718,-6.124803,0.001265
89,0.741667,-0.003758,0.904752,-0.004754,0.425896,1.696741,0.535709,-6.124280,0.001247
90,0.750000,-0.003564,0.904642,-0.004723,0.426132,1.695802,0.535464,-6.123736,0.001599
91,0.758333,-0.003595,0.904706,-0.004897,0.425993,1.695561,0.535663,-6.123092,0.001270
92,0.766667,-0.003501,0.904692,-0.005021,0.426021,1.695011,0.535716,-6.122566,0.001289
93,0.775000,-0.003538,0.904656,-0.005227,0.426096,1.694368,0.535740,-6.121938,0.001264
94,0.783333,-0.003469,0.904639,-0.005349,0.426131,1.693787,0.535763,-6.121367,0.001280
95,0.791667,-0.003397,0.904619,-0.005450,0.426173,1.693190,0.535770,-6.120807,0.001307
96,0.800000,-0.003314,0.904567,-0.005499,0.426282,1.692487,0.535735,-6.120193,0.001260
97,0.808333,-0.003262,0.904535,-0.005549,0.426351,1.691854,0.535763,-6.119623,0.001272
98,0.816667,-0.003001,0.904487,-0.005706,0.426452,1.691214,0.535780,-6.119025,0.001289
99,0.825000,-0.003029,0.904476,-0.005715,0.426475,1.690613,0.535797,-6.118428,0.001249
100,0.833333,-0.002969,0.904445,-0.005862,0.426540,1.690009,0.535880,-6.117822,0.001248
101,0.841667,-0.002885,0.904422,-0.005956,0.426588,1.689394,0.535953,-6.117219,0.001291
102,0.850000,-0.002852,0.904409,-0.005970,0.426616,1.688756,0.535953,-6.116604,0.001270
103,0.858333,-0.002760,0.904344,-0.006041,0.426752,1.688081,0.535954,-6.115971,0.001262
104,0.866667,-0.002699,0.904317,-0.006016,0.426810,1.687428,0.536006,-6.115391,0.001296
105,0.875000,-0.002682,0.904281,-0.005983,0.426888,1.686725,0.536003,-6.114727,0.001248
106,0.883333,-0.002651,0.904259,-0.006031,0.426933,1.686067,0.536038,-6.114127,0.001297
107,0.891667,-0.002556,0.904218,-0.006096,0.427020,1.685413,0.536139,-6.113504,0.001291
108,0.900000,-0.002589,0.904209,-0.006155,0.427037,1.684737,0.536178,-6.112831,0.001250
109,0.908333,-0.002512,0.904184,-0.006093,0.427092,1.684093,0.536210,-6.112198,0.001301
110,0.916667,-0.002412,0.904158,-0.006059,0.427148,1.683409,0.536268,-6.111551,0.001288
111,0.925000,-0.002460,0.904119,-0.005952,0.427232,1.682727,0.536306,-6.110895,0.001247
112,0.933333,-0.002338,0.904075,-0.005904,0.427326,1.682029,0.536325,-6.110258,0.001298
113,0.941667,-0.002351,0.904074,-0.005901,0.427329,1.681361,0.536395,-6.109540,0.001256
114,0.950000,-0.002286,0.904018,-0.005972,0.427447,1.680626,0.536476,-6.108894,0.001238
115,0.958333,-0.002299,0.904033,-0.005883,0.427415,1.680022,0.536569,-6.108250,0.001313
116,0.966667,-0.002383,0.904004,-0.005702,0.427480,1.679285,0.536599,-6.107509,0.001273
117,0.975000,-0.002381,0.903967,-0.005640,0.427558,1.678630,0.536657,-6.106886,0.001297
118,0.983333,-0.002268,0.903932,-0.005541,0.427634,1.677909,0.536684,-6.106144,0.001294
119,0.991667,-0.002260,0.903913,-0.005470,0.427674,1.677224,0.536755,-6.105485,0.001271
120,1.000000,-0.002174,0.903879,-0.005429,0.427749,1.676523,0.536837,-6.104786,0.001282
121,1.008333,-0.002202,0.903881,-0.005313,0.427745,1.675840,0.536905,-6.104047,0.001281
122,1.016667,-0.002120,0.903835,-0.005263,0.427844,1.675152,0.537002,-6.103385,0.001263
123,1.025000,-0.002123,0.903851,-0.005152,0.427812,1.674446,0.537023,-6.102633,0.001276
124,1.033333,-0.002105,0.903816,-0.005010,0.427886,1.673733,0.537082,-6.101939,0.001260
125,1.041667,-0.002105,0.903784,-0.004900,0.427957,1.673035,0.537157,-6.101215,0.001282
126,1.050000,-0.002159,0.903792,-0.004745,0.427940,1.672347,0.537247,-6.100502,0.001300
127,1.058333,-0.002128,0.903738,-0.004756,0.428055,1.671560,0.537287,-6.099766,0.001250
128,1.066667,-0.002097,0.903741,-0.004546,0.428050,1.670882,0.537335,-6.099028,0.001292
129,1.075000,-0.002028,0.903701,-0.004467,0.428135,1.670176,0.537435,-6.098296,0.001286
130,1.083333,-0.002119,0.903712,-0.004346,0.428113,1.669517,0.537511,-6.097563,0.001289
131,1.091667,-0.002040,0.903696,-0.004203,0.428148,1.668811,0.537555,-6.096814,0.001299
132,1.100000,-0.002018,0.903701,-0.004195,0.428140,1.668119,0.537685,-6.096097,0.001284
133,1.108333,-0.001955,0.903654,-0.004069,0.428240,1.667362,0.537710,-6.095326,0.001281
134,1.116667,-0.001882,0.903622,-0.004008,0.428308,1.666663,0.537791,-6.094637,0.001252
135,1.125000,-0.001752,0.903587,-0.003905,0.428384,1.665881,0.537804,-6.093847,0.001216
136,1.133333,-0.001860,0.903592,-0.003825,0.428374,1.665192,0.537856,-6.093129,0.001276
137,1.141667,-0.001868,0.903581,-0.003719,0.428398,1.664475,0.537922,-6.092351,0.001273
