Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_021,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 01.49.55.247 下午,Total Frames in Take,7472,Total Exported Frames,7472,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.003449,-0.722414,0.000590,-0.691452,-1.570507,0.528889,-5.924004,0.000724
1,0.008333,0.003302,-0.722489,0.000772,-0.691374,-1.570181,0.528864,-5.923956,0.001214
2,0.016667,0.003792,-0.721739,0.000519,-0.692155,-1.569520,0.528791,-5.924285,0.000807
3,0.025000,0.003600,-0.722024,0.000498,-0.691858,-1.568461,0.528684,-5.924341,0.000690
4,0.033333,0.003643,-0.721858,0.000490,-0.692032,-1.567767,0.528632,-5.924473,0.000704
5,0.041667,0.003772,-0.721742,0.000410,-0.692152,-1.567097,0.528536,-5.924578,0.000693
6,0.050000,0.003804,-0.721622,0.000418,-0.692277,-1.566396,0.528464,-5.924695,0.000714
7,0.058333,0.003898,-0.721477,0.000329,-0.692427,-1.565676,0.528376,-5.924821,0.000714
8,0.066667,0.003920,-0.721330,0.000311,-0.692580,-1.565011,0.528305,-5.924945,0.000701
9,0.075000,0.003961,-0.721184,0.000265,-0.692732,-1.564313,0.528250,-5.925063,0.000700
10,0.083333,0.004055,-0.721072,0.000239,-0.692848,-1.563585,0.528161,-5.925176,0.000690
11,0.091667,0.004082,-0.720901,0.000251,-0.693025,-1.562914,0.528093,-5.925318,0.000685
12,0.100000,0.004176,-0.720758,0.000233,-0.693174,-1.562207,0.528024,-5.925458,0.000696
13,0.108333,0.004260,-0.720600,0.000231,-0.693338,-1.561474,0.527924,-5.925607,0.000702
14,0.116667,0.004341,-0.720439,0.000206,-0.693505,-1.560710,0.527832,-5.925755,0.000721
15,0.125000,0.004393,-0.720287,0.000159,-0.693662,-1.560005,0.527736,-5.925889,0.000707
16,0.133333,0.004251,-0.720353,0.000400,-0.693594,-1.559604,0.527694,-5.925851,0.001220
17,0.141667,0.004534,-0.720001,0.000140,-0.693958,-1.558509,0.527571,-5.926140,0.000703
18,0.150000,0.004584,-0.719876,0.000125,-0.694087,-1.557765,0.527506,-5.926247,0.000705
19,0.158333,0.004626,-0.719692,0.000096,-0.694278,-1.556986,0.527456,-5.926405,0.000727
20,0.166667,0.004653,-0.719520,0.000087,-0.694457,-1.556245,0.527387,-5.926544,0.000701
21,0.175000,0.004725,-0.719370,0.000122,-0.694611,-1.555486,0.527311,-5.926669,0.000715
22,0.183333,0.004747,-0.719209,0.000112,-0.694777,-1.554702,0.527229,-5.926793,0.000707
23,0.191667,0.004753,-0.719037,0.000163,-0.694955,-1.553926,0.527167,-5.926922,0.000714
24,0.200000,0.005096,-0.718509,0.000115,-0.695499,-1.553487,0.527108,-5.927110,0.000812
25,0.208333,,,,,,,,
26,0.216667,0.005003,-0.718588,0.000078,-0.695418,-1.551504,0.526933,-5.927352,0.000701
27,0.225000,0.004989,-0.718410,0.000141,-0.695602,-1.550741,0.526892,-5.927506,0.000734
