Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_011,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 02.33.57.969 下午,Total Frames in Take,1325,Total Exported Frames,1325,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.000761,0.935983,-0.000757,-0.352045,1.821583,0.533342,-6.414745,0.000891
1,0.008333,0.000632,0.935968,-0.000764,-0.352083,1.821090,0.533422,-6.414166,0.000859
2,0.016667,0.000610,0.935945,-0.000766,-0.352145,1.820521,0.533471,-6.413460,0.000901
3,0.025000,0.000567,0.935955,-0.000682,-0.352120,1.820017,0.533619,-6.412879,0.000916
4,0.033333,0.000488,0.935930,-0.000672,-0.352186,1.819467,0.533704,-6.412214,0.000898
5,0.041667,0.000539,0.935915,-0.000666,-0.352226,1.818942,0.533794,-6.411553,0.000906
6,0.050000,0.000448,0.935910,-0.000684,-0.352238,1.818386,0.533908,-6.410901,0.000903
7,0.058333,0.000317,0.935899,-0.000696,-0.352267,1.817814,0.533957,-6.410208,0.000920
8,0.066667,0.000420,0.935881,-0.000714,-0.352316,1.817325,0.534100,-6.409597,0.000910
9,0.075000,0.000364,0.935858,-0.000760,-0.352376,1.816701,0.534164,-6.408839,0.000926
10,0.083333,0.000368,0.935853,-0.000749,-0.352389,1.816176,0.534290,-6.408249,0.000922
11,0.091667,-0.000728,0.935629,-0.001328,-0.352982,1.815660,0.534017,-6.407240,0.000691
12,0.100000,-0.000792,0.935638,-0.001305,-0.352957,1.815115,0.534125,-6.406545,0.000730
13,0.108333,0.000316,0.935800,-0.000915,-0.352530,1.814480,0.534624,-6.406181,0.000902
14,0.116667,0.000332,0.935791,-0.000921,-0.352554,1.813859,0.534712,-6.405477,0.000908
15,0.125000,0.000357,0.935777,-0.000977,-0.352590,1.813306,0.534875,-6.404819,0.000926
16,0.133333,0.000281,0.935760,-0.000986,-0.352636,1.812691,0.534977,-6.404064,0.000918
17,0.141667,0.000328,0.935750,-0.001064,-0.352663,1.812112,0.535105,-6.403405,0.000901
18,0.150000,0.000356,0.935729,-0.001156,-0.352719,1.811477,0.535190,-6.402664,0.000897
19,0.158333,0.000403,0.935715,-0.001122,-0.352756,1.810896,0.535328,-6.401991,0.000913
20,0.166667,0.000370,0.935698,-0.001290,-0.352799,1.810261,0.535476,-6.401300,0.000941
21,0.175000,-0.000769,0.935527,-0.001745,-0.353251,1.809626,0.535122,-6.400261,0.000735
22,0.183333,0.000392,0.935682,-0.001367,-0.352843,1.808986,0.535647,-6.399877,0.000917
23,0.191667,0.000362,0.935671,-0.001353,-0.352870,1.808272,0.535751,-6.399129,0.000936
24,0.200000,,,,,,,,
25,0.208333,0.000327,0.935654,-0.001467,-0.352915,1.806975,0.535979,-6.397656,0.000920
26,0.216667,0.000352,0.935630,-0.001625,-0.352979,1.806270,0.536078,-6.396919,0.000933
27,0.225000,0.000426,0.935620,-0.001639,-0.353006,1.805598,0.536206,-6.396191,0.000924
28,0.233333,0.000401,0.935601,-0.001715,-0.353054,1.804927,0.536296,-6.395422,0.000914
