,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker9,OASES_USV:Marker9,OASES_USV:Marker9
,ID,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,16C94F0,16C94F0,16C94F0,4574208FCC3911EB1371DA7D1A00BA88,4574208FCC3911EB1371DA7D1A00BA88,4574208FCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,16D5950,16D5950,16D5950,17027F0,17027F0,17027F0,16D5260,16D5260,16D5260,17023F0,17023F0,17023F0,16D6BE0,16D6BE0,16D6BE0,45742154CC3911EB1371DA7D1A00BA88,45742154CC3911EB1371DA7D1A00BA88,45742154CC3911EB1371DA7D1A00BA88
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
10,0.083333,0.007878,0.700017,-0.016704,0.713888,-0.604948,0.531457,-5.662919,0.001574,-0.600224,0.612121,-5.375401,,,,,,,-0.886659,0.61253,-5.667198,-0.636802,0.448192,-5.659291,-0.317226,0.611892,-5.660858,-0.599989,0.612139,-5.948713,-0.322577,0.469019,-5.940285,,,
11,0.091667,0.007613,0.699911,-0.016485,0.713999,-0.603905,0.531737,-5.663043,0.001557,-0.599501,0.612189,-5.375448,,,,,,,-0.885799,0.612736,-5.667706,-0.635986,0.44833,-5.659287,-0.315545,0.612814,-5.66087,-0.599002,0.61229,-5.948726,-0.321875,0.469275,-5.940456,,,
12,0.1,0.007648,0.699722,-0.016599,0.714182,-0.603069,0.531824,-5.663001,0.001572,-0.598786,0.612308,-5.375454,,,,,,,-0.884976,0.612815,-5.667624,-0.635131,0.448464,-5.659371,-0.314773,0.612839,-5.660768,-0.597898,0.612442,-5.948769,-0.320871,0.469217,-5.940184,,,
13,0.108333,0.007651,0.69958,-0.016569,0.714321,-0.602229,0.531922,-5.662939,0.001623,-0.598127,0.612364,-5.375449,,,,,,,-0.884181,0.612943,-5.667577,-0.634416,0.448539,-5.659368,-0.313898,0.613008,-5.660667,-0.596989,0.612575,-5.948733,-0.319736,0.469242,-5.939877,,,
14,0.116667,,,,,,,,,-0.597389,0.612427,-5.375432,,,,,,,-0.883377,0.613041,-5.667524,-0.633686,0.448692,-5.659414,-0.313062,0.613202,-5.660581,-0.596106,0.612785,-5.948724,-0.319019,0.469473,-5.940006,,,
15,0.125,-0.00778,-0.699376,0.016016,-0.714532,-0.600535,0.532012,-5.663005,0.001761,-0.596746,0.612028,-5.37567,,,,,,,-0.882356,0.612795,-5.667505,-0.63285,0.448914,-5.659449,-0.312283,0.613306,-5.66048,-0.595186,0.613022,-5.948719,-0.317738,0.4694,-5.939602,,,
16,0.133333,-0.007873,-0.69919,0.015985,-0.714714,-0.599693,0.532116,-5.663004,0.00177,-0.596092,0.612034,-5.375688,,,,,,,-0.881497,0.612841,-5.667474,-0.631981,0.449023,-5.659505,-0.311356,0.613452,-5.660379,-0.594094,0.613218,-5.948679,-0.316956,0.469566,-5.939615,,,
17,0.141667,-0.007308,-0.69943,0.016451,-0.714474,-0.598547,0.532514,-5.662891,0.001657,-0.594398,0.613408,-5.375564,,,,,,,-0.880639,0.612948,-5.667532,-0.631205,0.449077,-5.659483,-0.310231,0.613589,-5.660316,-0.593062,0.613389,-5.94865,-0.315987,0.469719,-5.939594,,,
18,0.15,-0.007376,-0.699158,0.016332,-0.714742,-0.597785,0.532591,-5.663026,0.001559,-0.59374,0.613443,-5.375543,,,,,,,-0.880038,0.613046,-5.66834,-0.630288,0.449178,-5.659514,-0.309529,0.613662,-5.660166,-0.592135,0.613572,-5.948653,-0.31501,0.469812,-5.939476,,,
19,0.158333,-0.007511,-0.699099,0.016303,-0.714799,-0.596917,0.532726,-5.66305,0.001555,-0.59286,0.613533,-5.375519,,,,,,,-0.879137,0.613218,-5.668435,-0.629471,0.449292,-5.659564,-0.308676,0.613745,-5.66009,-0.591195,0.613736,-5.948658,-0.314138,0.470016,-5.939459,,,
