Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 03.24.38.006 下午,Total Frames in Take,1510,Total Exported Frames,1510,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.003520,0.368492,0.004921,-0.929611,1.967529,0.531053,-6.773441,0.000921
1,0.008333,0.003555,0.368460,0.004847,-0.929624,1.967128,0.531188,-6.772941,0.000920
2,0.016667,0.003524,0.368367,0.004927,-0.929661,1.966862,0.531319,-6.772340,0.000821
3,0.025000,0.003389,0.368329,0.004626,-0.929678,1.966306,0.531370,-6.771948,0.000909
4,0.033333,0.003360,0.368280,0.004611,-0.929698,1.965850,0.531458,-6.771437,0.000932
5,0.041667,0.003202,0.368236,0.005542,-0.929710,1.965670,0.531808,-6.770626,0.000995
6,0.050000,0.003327,0.368178,0.004339,-0.929739,1.964908,0.531693,-6.770351,0.000962
7,0.058333,0.003268,0.368101,0.004465,-0.929769,1.964580,0.531825,-6.769670,0.000837
8,0.066667,0.003210,0.368065,0.004128,-0.929785,1.963970,0.531902,-6.769217,0.000932
9,0.075000,0.003178,0.368035,0.003916,-0.929798,1.963454,0.532010,-6.768599,0.000958
10,0.083333,0.003006,0.367890,0.004740,-0.929852,1.963280,0.532343,-6.767787,0.000937
11,0.091667,0.003085,0.367822,0.003621,-0.929884,1.962471,0.532216,-6.767474,0.000913
12,0.100000,0.003013,0.367769,0.003703,-0.929905,1.962054,0.532311,-6.766714,0.000844
13,0.108333,0.002832,0.367726,0.004414,-0.929919,1.961664,0.532598,-6.765955,0.000975
14,0.116667,0.002894,0.367703,0.003196,-0.929933,1.960848,0.532458,-6.765575,0.000923
15,0.125000,0.002799,0.367668,0.002992,-0.929948,1.960354,0.532556,-6.764939,0.000922
16,0.133333,0.002802,0.367636,0.002810,-0.929961,1.959810,0.532691,-6.764152,0.001006
17,0.141667,0.002699,0.367589,0.002856,-0.929980,1.959365,0.532820,-6.763367,0.000894
18,0.150000,0.002616,0.367502,0.002572,-0.930016,1.958592,0.532740,-6.762955,0.000973
19,0.158333,0.002431,0.367371,0.003458,-0.930065,1.958320,0.533017,-6.762028,0.000955
20,0.166667,0.002546,0.367380,0.002137,-0.930065,1.957445,0.532916,-6.761472,0.001013
21,0.175000,0.002461,0.367367,0.001960,-0.930071,1.956837,0.533008,-6.760751,0.001008
22,0.183333,,,,,,,,
23,0.191667,0.002379,0.367245,0.001779,-0.930120,1.955642,0.533044,-6.759335,0.001032
24,0.200000,0.002313,0.367214,0.001608,-0.930132,1.954942,0.533088,-6.758605,0.001060
25,0.208333,0.002206,0.367144,0.001469,-0.930160,1.954335,0.533141,-6.757864,0.001009
26,0.216667,0.002139,0.367050,0.001397,-0.930198,1.953660,0.533060,-6.757216,0.000956
27,0.225000,0.002166,0.367048,0.001127,-0.930199,1.953035,0.533159,-6.756331,0.000983
28,0.233333,0.002112,0.367017,0.001035,-0.930211,1.952375,0.533225,-6.755572,0.001006
