Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_015,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-07-11 02.38.06.167 下午,Total Frames in Take,1291,Total Exported Frames,1291,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local
,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,,,
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,,,,,,,,,,,,
,ID,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,,,,,,,,,,,,
0,0,-0.009046,0.430968,-0.00445,0.902311,1.648116,0.533819,-6.789948,0.000692,,,,,,,,,,,,
1,0.008333,-0.009064,0.431199,-0.004536,0.9022,1.647876,0.533868,-6.789308,0.000541,,,,,,,,,,,,
2,0.016667,-0.008912,0.431253,-0.004458,0.902176,1.6475,0.533874,-6.788769,0.000551,,,,,,,,,,,,
3,0.025,-0.008623,0.431172,-0.004408,0.902218,1.646814,0.533645,-6.788384,0.000724,,,,,,,,,,,,
4,0.033333,-0.008769,0.431439,-0.004412,0.902089,1.64667,0.533726,-6.787601,0.000552,,,,,,,,,,,,
5,0.041667,-0.008624,0.43149,-0.004383,0.902066,1.646265,0.533697,-6.787047,0.000544,,,,,,,,,,,,
6,0.05,-0.00826,0.43145,-0.004284,0.902089,1.645559,0.533505,-6.786602,0.000755,,,,,,,,,,,,
7,0.058333,-0.008314,0.431663,-0.00428,0.901986,1.645391,0.533673,-6.785813,0.000572,,,,,,,,,,,,
8,0.066667,-0.007953,0.431588,-0.004116,0.902027,1.644719,0.533496,-6.785389,0.00076,,,,,,,,,,,,
9,0.075,-0.007934,0.431734,-0.004108,0.901957,1.644275,0.533425,-6.784725,0.000777,,,,,,,,,,,,
10,0.083333,-0.007769,0.431783,-0.004104,0.901935,1.643837,0.533381,-6.784125,0.000732,,,,,,,,,,,,
11,0.091667,-0.00795,0.432118,-0.004105,0.901773,1.643648,0.533457,-6.783276,0.000553,,,,,,,,,,,,
12,0.1,-0.007688,0.43217,-0.004075,0.90175,1.64321,0.533432,-6.782649,0.000581,,,,,,,,,,,,
13,0.108333,-0.007471,0.432301,-0.003984,0.90169,1.642751,0.533401,-6.781987,0.00061,,,,,,,,,,,,
14,0.116667,-0.007261,0.432361,-0.00399,0.901663,1.642297,0.533374,-6.781277,0.000708,,,,,,,,,,,,
15,0.125,-0.00685,0.432294,-0.003827,0.901698,1.641564,0.533125,-6.780786,0.000901,,,,,,,,,,,,
16,0.133333,-0.006911,0.432551,-0.003828,0.901575,1.641334,0.533211,-6.779894,0.000714,,,,,,,,,,,,
17,0.141667,-0.006663,0.432604,-0.003737,0.901552,1.64087,0.533101,-6.779266,0.000638,,,,,,,,,,,,
18,0.15,-0.006391,0.432204,-0.003119,0.901748,1.640129,0.532896,-6.778737,0.00078,,,,,,,,,,,,
19,0.158333,-0.006198,0.432278,-0.003163,0.901713,1.639638,0.532832,-6.778048,0.000763,,,,,,,,,,,,
20,0.166667,-0.006081,0.432444,-0.003089,0.901635,1.639151,0.532775,-6.777332,0.000779,,,,,,,,,,,,
21,0.175,-0.005927,0.432994,-0.003653,0.90137,1.638955,0.532929,-6.776416,0.000718,,,,,,,,,,,,
22,0.183333,-0.0057,0.433139,-0.003592,0.901302,1.638427,0.532909,-6.775706,0.000729,,,,,,,,,,,,
23,0.191667,0.005413,-0.433168,0.003585,-0.90129,1.637948,0.532841,-6.775024,0.000732,,,,,,,,,,,,
24,0.2,0.005278,-0.433331,0.003507,-0.901213,1.637423,0.532719,-6.774283,0.000761,,,,,,,,,,,,
25,0.208333,,,,,,,,,,,,,,,,,,,,
26,0.216667,0.004898,-0.433515,0.003565,-0.901126,1.636418,0.532623,-6.77279,0.000749,,,,,,,,,,,,
27,0.225,0.004617,-0.433518,0.003491,-0.901126,1.635941,0.532616,-6.772095,0.000744,,,,,,,,,,,,
28,0.233333,0.004621,-0.433693,0.003414,-0.901042,1.635411,0.5325,-6.771314,0.000761,,,,,,,,,,,,
29,0.241667,0.004337,-0.433719,0.003418,-0.901031,1.634925,0.532452,-6.770619,0.000753,,,,,,,,,,,,
30,0.25,0.003976,-0.433672,0.00334,-0.901056,1.634099,0.532174,-6.77003,0.000953,,,,,,,,,,,,
31,0.258333,0.00395,-0.433921,0.003425,-0.900936,1.633889,0.532323,-6.769131,0.000742,,,,,,,,,,,,
32,0.266667,0.00385,-0.434032,0.003442,-0.900883,1.633366,0.53221,-6.768346,0.000763,,,,,,,,,,,,
33,0.275,0.003747,-0.434133,0.003359,-0.900835,1.6329,0.532146,-6.767638,0.000776,,,,,,,,,,,,
34,0.283333,0.003533,-0.43409,0.003295,-0.900857,1.632061,0.531867,-6.766997,0.000978,,,,,,,,,,,,
35,0.291667,0.003416,-0.434308,0.003383,-0.900752,1.631878,0.532087,-6.766124,0.000744,,,,,,,,,,,,
36,0.3,0.003358,-0.434429,0.003389,-0.900694,1.631352,0.53204,-6.76533,0.000764,,,,,,,,,,,,
37,0.308333,0.003225,-0.434492,0.003403,-0.900664,1.630835,0.531982,-6.764582,0.000762,,,,,,,,,,,,
38,0.316667,0.003166,-0.434648,0.003431,-0.900588,1.630307,0.531892,-6.763806,0.000757,,,,,,,,,,,,
39,0.325,0.003042,-0.434691,0.003464,-0.900568,1.629776,0.531862,-6.763069,0.000749,,,,,,,,,,,,
40,0.333333,0.00302,-0.434865,0.003493,-0.900484,1.629216,0.531823,-6.762252,0.000756,,,,,,,,,,,,
41,0.341667,0.002888,-0.434919,0.003461,-0.900458,1.628711,0.531794,-6.761529,0.000752,,,,,,,,,,,,
42,0.35,0.00287,-0.435066,0.003469,-0.900388,1.628183,0.531736,-6.760747,0.000787,,,,,,,,,,,,
43,0.358333,0.002781,-0.435151,0.003603,-0.900346,1.62762,0.531705,-6.759983,0.000774,,,,,,,,,,,,
44,0.366667,0.00278,-0.435328,0.003632,-0.90026,1.62705,0.531656,-6.759202,0.000797,,,,,,,,,,,,
45,0.375,0.002631,-0.435377,0.003656,-0.900237,1.626509,0.531661,-6.758443,0.000752,,,,,,,,,,,,
46,0.383333,0.002698,-0.435515,0.00365,-0.90017,1.625933,0.531593,-6.757639,0.000784,,,,,,,,,,,,
47,0.391667,0.002471,-0.435429,0.003583,-0.900212,1.625116,0.531382,-6.757055,0.00099,,,,,,,,,,,,
48,0.4,0.002662,-0.435784,0.003697,-0.90004,1.624835,0.531559,-6.756074,0.00079,,,,,,,,,,,,
49,0.408333,0.002469,-0.435697,0.003719,-0.900082,1.624015,0.531344,-6.755476,0.000936,,,,,,,,,,,,
50,0.416667,0.002675,-0.436004,0.003781,-0.899933,1.623728,0.531551,-6.754489,0.000812,,,,,,,,,,,,
51,0.425,0.002574,-0.435936,0.003694,-0.899966,1.62287,0.531351,-6.753862,0.000989,,,,,,,,,,,,
52,0.433333,0.002686,-0.436225,0.003847,-0.899826,1.622583,0.531551,-6.752921,0.000799,,,,,,,,,,,,
53,0.441667,0.002682,-0.436345,0.003911,-0.899767,1.622021,0.531513,-6.752137,0.000809,,,,,,,,,,,,
54,0.45,0.002725,-0.436468,0.003918,-0.899707,1.621418,0.53149,-6.751317,0.000806,,,,,,,,,,,,
55,0.458333,0.002744,-0.436566,0.003955,-0.899659,1.620812,0.531539,-6.750529,0.000816,,,,,,,,,,,,
56,0.466667,0.002637,-0.436155,0.003333,-0.899862,1.619964,0.531373,-6.749929,0.000836,,,,,,,,,,,,
57,0.475,0.002535,-0.436124,0.003284,-0.899877,1.619061,0.531108,-6.749294,0.000905,,,,,,,,,,,,
58,0.483333,0.002746,-0.436907,0.004023,-0.899494,1.619017,0.531575,-6.748106,0.000799,,,,,,,,,,,,
59,0.491667,0.00295,-0.437062,0.0041,-0.899417,1.618384,0.531595,-6.747246,0.000807,,,,,,,,,,,,
60,0.5,0.002992,-0.437428,0.00453,-0.899237,1.617939,0.531896,-6.746274,0.001123,,,,,,,,,,,,
61,0.508333,0.002818,-0.436651,0.003391,-0.89962,1.616596,0.531196,-6.745992,0.000893,,,,,,,,,,,,
62,0.516667,0.003094,-0.437645,0.004795,-0.89913,1.616595,0.532007,-6.744591,0.001113,,,,,,,,,,,,
63,0.525,0.003229,-0.437852,0.004524,-0.89903,1.616024,0.531855,-6.743751,0.001159,,,,,,,,,,,,
