NO.,PWM,Thrust,Voltage,Current,Power
3054,60,11.02033519744873,12.251999999999999,2.624,31.919999999999998
3055,60,11.02033519744873,12.251999999999999,2.624,31.919999999999998
3056,60,11.087669372558594,12.251999999999999,2.62,31.919999999999998
3057,60,11.087669372558594,12.251999999999999,2.62,31.919999999999998
3058,60,11.087669372558594,12.251999999999999,2.62,31.919999999999998
3059,60,11.087669372558594,12.251999999999999,2.62,31.919999999999998
3060,60,11.087669372558594,12.251999999999999,2.62,31.919999999999998
3061,60,10.953001022338867,12.251999999999999,2.62,31.919999999999998
3062,60,10.953001022338867,12.251999999999999,2.62,31.919999999999998
3063,60,10.953001022338867,12.251999999999999,2.612,31.919999999999998
3064,60,10.953001022338867,12.251999999999999,2.612,31.919999999999998
3065,60,11.015846252441406,12.251999999999999,2.612,31.919999999999998
3066,60,11.015846252441406,12.251999999999999,2.612,31.919999999999998
3067,60,11.015846252441406,12.251999999999999,2.612,31.919999999999998
3068,60,11.015846252441406,12.251999999999999,2.612,31.919999999999998
3069,60,11.069713592529297,12.251999999999999,2.612,31.919999999999998
3070,60,11.069713592529297,12.251999999999999,2.62,31.919999999999998
3071,60,11.069713592529297,12.251999999999999,2.62,31.919999999999998
3072,60,11.069713592529297,12.251999999999999,2.62,31.919999999999998
3073,60,11.159491539001465,12.251999999999999,2.62,31.919999999999998
3074,60,11.159491539001465,12.251999999999999,2.62,31.919999999999998
3075,60,11.159491539001465,12.251999999999999,2.62,31.919999999999998
3076,60,11.159491539001465,12.251999999999999,2.62,31.919999999999998
3077,60,11.159491539001465,12.251999999999999,2.624,31.919999999999998
3078,60,11.159491539001465,12.251999999999999,2.624,31.919999999999998
3079,60,11.159491539001465,12.251999999999999,2.624,31.919999999999998
3080,60,11.159491539001465,12.251999999999999,2.624,31.919999999999998
3081,60,11.159491539001465,12.251999999999999,2.624,31.919999999999998
3082,60,11.18642520904541,12.251999999999999,2.624,31.919999999999998
3083,60,11.18642520904541,12.251999999999999,2.62,31.919999999999998
3084,60,11.18642520904541,12.251999999999999,2.62,31.919999999999998
3085,60,11.18642520904541,12.251999999999999,2.62,31.919999999999998
3086,60,11.199892044067383,12.251999999999999,2.62,31.919999999999998
3087,60,11.199892044067383,12.251999999999999,2.62,31.919999999999998
3088,60,11.199892044067383,12.251999999999999,2.62,31.919999999999998
3089,60,11.199892044067383,12.251999999999999,2.62,31.919999999999998
3090,60,11.163980484008789,12.251999999999999,2.62,31.919999999999998
3091,60,11.163980484008789,12.251999999999999,2.62,31.919999999999998
3092,60,11.163980484008789,12.251999999999999,2.62,31.919999999999998
3093,60,11.163980484008789,12.251999999999999,2.62,31.919999999999998
3094,60,11.069713592529297,12.251999999999999,2.62,31.919999999999998
3095,60,11.069713592529297,12.251999999999999,2.62,31.919999999999998
3096,60,11.069713592529297,12.251999999999999,2.612,31.919999999999998
3097,60,11.069713592529297,12.251999999999999,2.612,31.919999999999998
3098,60,11.128068923950195,12.251999999999999,2.612,31.919999999999998
3099,60,11.128068923950195,12.251999999999999,2.612,31.919999999999998
3100,60,11.128068923950195,12.251999999999999,2.612,31.919999999999998
3101,59,11.128068923950195,12.251999999999999,2.612,31.919999999999998
3102,59,11.002379417419434,12.251999999999999,2.612,31.919999999999998
3103,59,11.002379417419434,12.251999999999999,2.624,31.919999999999998
3104,59,11.002379417419434,12.251999999999999,2.624,31.919999999999998
3105,59,11.002379417419434,12.251999999999999,2.624,31.919999999999998
3106,59,11.550028800964355,12.251999999999999,2.624,31.919999999999998
3107,59,11.550028800964355,12.251999999999999,2.624,31.919999999999998
3108,59,11.550028800964355,12.251999999999999,2.624,31.919999999999998
3109,59,11.550028800964355,12.251999999999999,2.624,31.919999999999998
3110,59,11.550028800964355,12.246,2.788,34.080000000000005
3111,59,11.612874031066895,12.246,2.788,34.080000000000005
3112,59,11.612874031066895,12.246,2.788,34.080000000000005
3113,59,11.612874031066895,12.246,2.788,34.080000000000005
3114,59,11.612874031066895,12.246,2.788,34.080000000000005
3115,59,11.662252426147461,12.246,2.788,34.080000000000005
3116,59,11.662252426147461,12.246,2.828,34.56
3117,59,11.662252426147461,12.246,2.828,34.56
3118,59,11.662252426147461,12.246,2.828,34.56
3119,59,11.60838508605957,12.246,2.828,34.56
3120,59,11.60838508605957,12.246,2.828,34.56
3121,59,11.60838508605957,12.246,2.828,34.56
3122,59,11.60838508605957,12.246,2.828,34.56
3123,59,11.536561965942383,12.246,2.808,34.32
3124,59,11.536561965942383,12.246,2.808,34.32
3125,59,11.536561965942383,12.246,2.808,34.32
3126,59,11.536561965942383,12.246,2.808,34.32
3127,59,11.428828239440918,12.246,2.808,34.32
3128,59,11.428828239440918,12.246,2.808,34.32
3129,59,11.428828239440918,12.246,2.804,34.32
3130,59,11.428828239440918,12.246,2.804,34.32
3131,59,11.617362976074219,12.246,2.804,34.32
3132,59,11.617362976074219,12.246,2.804,34.32
3133,59,11.617362976074219,12.246,2.804,34.32
3134,59,11.617362976074219,12.246,2.804,34.32
3135,59,11.52309513092041,12.246,2.8120000000000003,34.32
3136,59,11.52309513092041,12.246,2.8120000000000003,34.32
3137,59,11.52309513092041,12.246,2.8120000000000003,34.32
3138,59,11.52309513092041,12.246,2.8120000000000003,34.32
3139,59,11.44229507446289,12.246,2.8120000000000003,34.32
3140,59,11.44229507446289,12.246,2.8120000000000003,34.32
3141,59,11.44229507446289,12.246,2.8120000000000003,34.32
3142,59,11.44229507446289,12.246,2.808,34.32
3143,59,11.657763481140137,12.246,2.808,34.32
3144,59,11.657763481140137,12.246,2.808,34.32
3145,59,11.657763481140137,12.246,2.808,34.32
3146,59,11.657763481140137,12.246,2.808,34.32
3147,59,11.545539855957031,12.246,2.808,34.32
3148,59,11.545539855957031,12.246,2.8160000000000003,34.32
3149,59,11.545539855957031,12.246,2.8160000000000003,34.32
3150,59,11.545539855957031,12.246,2.8160000000000003,34.32
3151,59,11.509628295898438,12.246,2.8160000000000003,34.32
3152,59,11.509628295898438,12.246,2.8160000000000003,34.32
3153,59,11.509628295898438,12.246,2.8160000000000003,34.32
3154,59,11.509628295898438,12.246,2.8160000000000003,34.32
3155,59,11.550028800964355,12.246,2.8120000000000003,34.32
3156,59,11.550028800964355,12.246,2.8120000000000003,34.32
3157,59,11.550028800964355,12.246,2.8120000000000003,34.32
