Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_014,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-07-11 02.36.15.124 下午,Total Frames in Take,1003,Total Exported Frames,1003,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local
,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,,,
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,,,,,,,,,,,,
,ID,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,,,,,,,,,,,,
0,0,-0.008042,0.451537,-0.004328,0.892206,1.623517,0.536713,-6.625828,0.001189,,,,,,,,,,,,
1,0.008333,-0.008059,0.451662,-0.004222,0.892143,1.622824,0.536565,-6.624971,0.001144,,,,,,,,,,,,
2,0.016667,-0.008011,0.451739,-0.004215,0.892105,1.622157,0.536448,-6.624168,0.001178,,,,,,,,,,,,
3,0.025,-0.007921,0.451855,-0.004187,0.892046,1.621483,0.536308,-6.623321,0.001174,,,,,,,,,,,,
4,0.033333,-0.007876,0.451968,-0.004127,0.89199,1.620806,0.536192,-6.622471,0.001228,,,,,,,,,,,,
5,0.041667,-0.007803,0.452049,-0.004031,0.89195,1.620165,0.536117,-6.621631,0.00114,,,,,,,,,,,,
6,0.05,-0.007888,0.452278,-0.003908,0.891834,1.619581,0.535882,-6.620749,0.001145,,,,,,,,,,,,
7,0.058333,-0.00786,0.452386,-0.003939,0.891779,1.618936,0.535736,-6.619911,0.001117,,,,,,,,,,,,
8,0.066667,-0.007819,0.452498,-0.003958,0.891723,1.618223,0.535544,-6.619044,0.0011,,,,,,,,,,,,
9,0.075,-0.007782,0.452542,-0.004119,0.891699,1.61748,0.535486,-6.618152,0.001127,,,,,,,,,,,,
10,0.083333,-0.009273,0.453098,-0.00489,0.891399,1.617093,0.535751,-6.617025,0.001031,,,,,,,,,,,,
11,0.091667,-0.009247,0.453206,-0.004932,0.891344,1.616408,0.535663,-6.616126,0.001085,,,,,,,,,,,,
12,0.1,-0.009126,0.453327,-0.00491,0.891284,1.615743,0.535518,-6.615247,0.001006,,,,,,,,,,,,
13,0.108333,-0.009196,0.453454,-0.005037,0.891218,1.615094,0.535373,-6.614353,0.001021,,,,,,,,,,,,
14,0.116667,-0.00911,0.453581,-0.005107,0.891154,1.614456,0.535217,-6.61345,0.001011,,,,,,,,,,,,
15,0.125,-0.00908,0.453646,-0.005316,0.89112,1.613756,0.535102,-6.612546,0.001049,,,,,,,,,,,,
16,0.133333,-0.008904,0.453745,-0.005357,0.891071,1.61311,0.534949,-6.611613,0.001013,,,,,,,,,,,,
17,0.141667,-0.008243,0.453797,-0.00489,0.891054,1.6125,0.534516,-6.610786,0.00098,,,,,,,,,,,,
18,0.15,-0.008284,0.45394,-0.005007,0.89098,1.611859,0.534383,-6.609859,0.001012,,,,,,,,,,,,
19,0.158333,-0.008182,0.454039,-0.005184,0.890929,1.611244,0.534241,-6.608943,0.001012,,,,,,,,,,,,
20,0.166667,-0.008636,0.453961,-0.005861,0.890961,1.610211,0.534198,-6.608082,0.001403,,,,,,,,,,,,
21,0.175,-0.007904,0.45392,-0.005346,0.890991,1.609589,0.533881,-6.607159,0.001179,,,,,,,,,,,,
22,0.183333,-0.008496,0.45437,-0.006387,0.89075,1.609217,0.534206,-6.606082,0.000989,,,,,,,,,,,,
23,0.191667,0.008437,-0.45452,0.006565,-0.890672,1.608572,0.53405,-6.605097,0.000986,,,,,,,,,,,,
24,0.2,0.008371,-0.454594,0.006805,-0.890633,1.60792,0.533944,-6.604187,0.000967,,,,,,,,,,,,
25,0.208333,,,,,,,,,,,,,,,,,,,,
26,0.216667,0.008164,-0.454802,0.007224,-0.890526,1.606631,0.533731,-6.602271,0.00098,,,,,,,,,,,,
27,0.225,0.008067,-0.454935,0.00741,-0.890457,1.605989,0.533598,-6.601323,0.000965,,,,,,,,,,,,
28,0.233333,0.006211,-0.45381,0.005671,-0.891059,1.604377,0.531997,-6.601139,0.000567,,,,,,,,,,,,
29,0.241667,0.007924,-0.455118,0.007898,-0.890361,1.604713,0.533422,-6.599413,0.000951,,,,,,,,,,,,
30,0.25,0.007866,-0.455281,0.008127,-0.890276,1.604088,0.533331,-6.598435,0.000909,,,,,,,,,,,,
31,0.258333,0.007825,-0.455358,0.008385,-0.890235,1.603441,0.533209,-6.597446,0.000929,,,,,,,,,,,,
32,0.266667,0.007784,-0.455538,0.008468,-0.890142,1.602783,0.533119,-6.596489,0.000894,,,,,,,,,,,,
33,0.275,0.006975,-0.45547,0.008082,-0.890187,1.601855,0.532369,-6.595699,0.001198,,,,,,,,,,,,
34,0.283333,0.006816,-0.455565,0.008278,-0.890138,1.601202,0.532278,-6.594746,0.001181,,,,,,,,,,,,
35,0.291667,0.005943,-0.454839,0.007284,-0.890524,1.599934,0.531619,-6.594151,0.000884,,,,,,,,,,,,
36,0.3,0.006904,-0.455835,0.008738,-0.889995,1.599809,0.532117,-6.59275,0.001217,,,,,,,,,,,,
37,0.308333,0.005835,-0.455141,0.007791,-0.890366,1.598551,0.531551,-6.592149,0.000843,,,,,,,,,,,,
38,0.316667,0.006585,-0.456102,0.009021,-0.889858,1.598461,0.531999,-6.590721,0.001134,,,,,,,,,,,,
39,0.325,0.005669,-0.455373,0.007937,-0.890248,1.597162,0.531354,-6.590118,0.000865,,,,,,,,,,,,
40,0.333333,0.006283,-0.456524,0.009171,-0.889642,1.5971,0.531751,-6.588753,0.000949,,,,,,,,,,,,
41,0.341667,0.006133,-0.456614,0.009334,-0.889595,1.596362,0.531703,-6.5877,0.000962,,,,,,,,,,,,
42,0.35,0.00637,-0.456674,0.009545,-0.88956,1.595613,0.531794,-6.586632,0.001133,,,,,,,,,,,,
43,0.358333,0.006126,-0.456918,0.009441,-0.889438,1.594959,0.531667,-6.585601,0.000931,,,,,,,,,,,,
44,0.366667,0.00597,-0.457004,0.009548,-0.889393,1.594239,0.531652,-6.58455,0.001011,,,,,,,,,,,,
45,0.375,0.00588,-0.457157,0.009641,-0.889315,1.593496,0.53161,-6.583497,0.000936,,,,,,,,,,,,
46,0.383333,0.005483,-0.456764,0.009092,-0.889525,1.592373,0.531387,-6.582547,0.001161,,,,,,,,,,,,
47,0.391667,0.005769,-0.457438,0.009697,-0.88917,1.59197,0.531552,-6.581341,0.000953,,,,,,,,,,,,
48,0.4,0.005361,-0.457076,0.009167,-0.889364,1.590878,0.531321,-6.580389,0.001168,,,,,,,,,,,,
49,0.408333,0.005719,-0.457807,0.009642,-0.888981,1.590416,0.531486,-6.579157,0.00091,,,,,,,,,,,,
50,0.416667,0.00572,-0.457599,0.009432,-0.889091,1.589533,0.531807,-6.577972,0.000912,,,,,,,,,,,,
51,0.425,0.005821,-0.457797,0.009544,-0.888986,1.588868,0.531908,-6.576798,0.001126,,,,,,,,,,,,
52,0.433333,0.005296,-0.457492,0.00875,-0.889155,1.58759,0.531648,-6.575841,0.000982,,,,,,,,,,,,
53,0.441667,0.00511,-0.4579,0.008819,-0.888945,1.586882,0.531282,-6.574773,0.001166,,,,,,,,,,,,
54,0.45,0.00519,-0.458133,0.008807,-0.888825,1.586075,0.53131,-6.573629,0.001188,,,,,,,,,,,,
55,0.458333,0.004947,-0.457999,0.008378,-0.888899,1.584731,0.531138,-6.572584,0.000941,,,,,,,,,,,,
56,0.466667,0.004786,-0.458032,0.008203,-0.888885,1.583971,0.531146,-6.571412,0.00093,,,,,,,,,,,,
57,0.475,0.005187,-0.458782,0.008659,-0.888492,1.583545,0.53139,-6.570127,0.000828,,,,,,,,,,,,
58,0.483333,0.00475,-0.45838,0.007872,-0.888709,1.582295,0.531222,-6.569011,0.000899,,,,,,,,,,,,
59,0.491667,0.005326,-0.45914,0.008244,-0.88831,1.581846,0.531467,-6.567705,0.000831,,,,,,,,,,,,
60,0.5,0.005183,-0.459282,0.008049,-0.888239,1.581009,0.531518,-6.56649,0.000838,,,,,,,,,,,,
61,0.508333,0.006181,-0.459692,0.008007,-0.888021,1.580309,0.531747,-6.565202,0.00087,,,,,,,,,,,,
62,0.516667,0.006331,-0.459966,0.007888,-0.887879,1.579343,0.531722,-6.563949,0.000877,,,,,,,,,,,,
63,0.525,0.004358,-0.459582,0.007233,-0.888095,1.578114,0.531573,-6.562926,0.000801,,,,,,,,,,,,
