Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_013,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-07-11 03.41.07.084 下午,Total Frames in Take,853,Total Exported Frames,853,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local
,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,,,
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,,,,,,,,,,,,
,ID,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,,,,,,,,,,,,
0,0,0.002912,-0.409494,0.005552,-0.912291,1.705083,0.533019,-6.742035,0.000865,,,,,,,,,,,,
1,0.008333,0.002793,-0.409574,0.005459,-0.912256,1.704072,0.533067,-6.740814,0.000865,,,,,,,,,,,,
2,0.016667,0.002709,-0.409705,0.005417,-0.912198,1.703024,0.533039,-6.739603,0.00089,,,,,,,,,,,,
3,0.025,0.002648,-0.409813,0.005315,-0.91215,1.702033,0.533064,-6.738372,0.00088,,,,,,,,,,,,
4,0.033333,0.00255,-0.409947,0.005259,-0.91209,1.700996,0.533079,-6.737092,0.00088,,,,,,,,,,,,
5,0.041667,0.002461,-0.410033,0.005233,-0.912053,1.699925,0.533047,-6.735841,0.000902,,,,,,,,,,,,
6,0.05,0.002294,-0.410161,0.005146,-0.911996,1.698834,0.53316,-6.734598,0.000907,,,,,,,,,,,,
7,0.058333,0.002259,-0.410275,0.005118,-0.911945,1.697794,0.533128,-6.733299,0.000893,,,,,,,,,,,,
8,0.066667,0.002176,-0.410383,0.00508,-0.911896,1.696697,0.533128,-6.732032,0.000906,,,,,,,,,,,,
9,0.075,0.002178,-0.410539,0.005003,-0.911827,1.695619,0.533105,-6.730742,0.000892,,,,,,,,,,,,
10,0.083333,0.002098,-0.410613,0.00493,-0.911794,1.694548,0.533088,-6.729447,0.000902,,,,,,,,,,,,
11,0.091667,0.001985,-0.410736,0.004916,-0.911739,1.69342,0.533051,-6.728134,0.000919,,,,,,,,,,,,
12,0.1,0.002008,-0.410844,0.004846,-0.911691,1.692334,0.533013,-6.726806,0.000935,,,,,,,,,,,,
13,0.108333,0.001857,-0.410868,0.004573,-0.911681,1.691161,0.532933,-6.725492,0.00093,,,,,,,,,,,,
14,0.116667,0.001829,-0.411001,0.004635,-0.911621,1.690067,0.532882,-6.724136,0.000943,,,,,,,,,,,,
15,0.125,0.001933,-0.41125,0.004743,-0.911508,1.688987,0.532918,-6.722744,0.000961,,,,,,,,,,,,
16,0.133333,0.001939,-0.411411,0.004774,-0.911435,1.687857,0.532868,-6.721382,0.000979,,,,,,,,,,,,
17,0.141667,0.001901,-0.41152,0.004855,-0.911386,1.686732,0.532803,-6.720015,0.000945,,,,,,,,,,,,
18,0.15,0.001964,-0.41165,0.004772,-0.911327,1.685629,0.532783,-6.718613,0.000963,,,,,,,,,,,,
19,0.158333,0.001893,-0.411772,0.00475,-0.911273,1.684492,0.532721,-6.717252,0.000975,,,,,,,,,,,,
20,0.166667,0.002004,-0.411918,0.004838,-0.911206,1.683332,0.53265,-6.715833,0.00097,,,,,,,,,,,,
21,0.175,0.001946,-0.412068,0.004805,-0.911138,1.682157,0.532599,-6.714434,0.000973,,,,,,,,,,,,
22,0.183333,,,,,,,,,,,,,,,,,,,,
23,0.191667,0.00203,-0.412349,0.004893,-0.911011,1.679837,0.532467,-6.711605,0.00098,,,,,,,,,,,,
24,0.2,0.002022,-0.412499,0.00485,-0.910943,1.678697,0.532394,-6.710183,0.000991,,,,,,,,,,,,
25,0.208333,0.002165,-0.41264,0.004934,-0.910878,1.677519,0.532323,-6.708732,0.001015,,,,,,,,,,,,
26,0.216667,0.002395,-0.412736,0.00501,-0.910834,1.676294,0.53233,-6.7073,0.001081,,,,,,,,,,,,
27,0.225,0.002526,-0.412902,0.005087,-0.910758,1.675104,0.532209,-6.705857,0.001084,,,,,,,,,,,,
28,0.233333,0.002564,-0.412951,0.004937,-0.910736,1.673805,0.532036,-6.704423,0.001069,,,,,,,,,,,,
29,0.241667,0.003387,-0.414216,0.005957,-0.910153,1.673378,0.532551,-6.70247,0.001014,,,,,,,,,,,,
30,0.25,0.003435,-0.41435,0.006026,-0.910091,1.672181,0.532446,-6.701013,0.001032,,,,,,,,,,,,
31,0.258333,0.002699,-0.413457,0.005263,-0.910504,1.670354,0.532,-6.699984,0.001029,,,,,,,,,,,,
32,0.266667,0.003554,-0.414693,0.006117,-0.909934,1.669774,0.532321,-6.698022,0.001034,,,,,,,,,,,,
33,0.275,0.003747,-0.414852,0.006225,-0.90986,1.668499,0.532221,-6.696527,0.001037,,,,,,,,,,,,
34,0.283333,0.003017,-0.413965,0.005409,-0.910272,1.666686,0.531751,-6.695466,0.001026,,,,,,,,,,,,
35,0.291667,0.003942,-0.415206,0.006335,-0.909697,1.66605,0.532089,-6.69349,0.001018,,,,,,,,,,,,
36,0.3,0.002963,-0.414983,0.006071,-0.909804,1.664581,0.531811,-6.692136,0.00106,,,,,,,,,,,,
37,0.308333,0.003161,-0.415126,0.006066,-0.909738,1.663352,0.531753,-6.69058,0.001079,,,,,,,,,,,,
38,0.316667,0.003187,-0.415298,0.00621,-0.909659,1.662112,0.531675,-6.689043,0.001076,,,,,,,,,,,,
39,0.325,0.003191,-0.415145,0.005817,-0.909731,1.660541,0.531339,-6.687679,0.00117,,,,,,,,,,,,
40,0.333333,0.003456,-0.415657,0.006329,-0.909493,1.659596,0.531577,-6.685939,0.00106,,,,,,,,,,,,
41,0.341667,0.00356,-0.415835,0.00645,-0.90941,1.658308,0.531497,-6.68437,0.001075,,,,,,,,,,,,
42,0.35,0.00368,-0.415995,0.006438,-0.909337,1.657054,0.531478,-6.682775,0.001058,,,,,,,,,,,,
43,0.358333,0.003783,-0.416156,0.006564,-0.909262,1.655759,0.53141,-6.68121,0.001053,,,,,,,,,,,,
44,0.366667,0.00393,-0.416329,0.006542,-0.909182,1.654484,0.531383,-6.679596,0.001054,,,,,,,,,,,,
45,0.375,0.004106,-0.416551,0.006651,-0.909079,1.65318,0.531336,-6.677989,0.001036,,,,,,,,,,,,
46,0.383333,0.004188,-0.416591,0.006475,-0.909061,1.65172,0.531151,-6.676415,0.001109,,,,,,,,,,,,
47,0.391667,0.004274,-0.41671,0.006584,-0.909006,1.650228,0.530981,-6.674856,0.001153,,,,,,,,,,,,
48,0.4,0.004532,-0.417098,0.006874,-0.908824,1.649189,0.531171,-6.673054,0.001055,,,,,,,,,,,,
49,0.408333,0.004645,-0.41711,0.006543,-0.908821,1.647803,0.531038,-6.671456,0.001081,,,,,,,,,,,,
50,0.416667,0.004764,-0.417457,0.006976,-0.908658,1.646519,0.531126,-6.669745,0.001039,,,,,,,,,,,,
51,0.425,0.004832,-0.417507,0.006679,-0.908636,1.645074,0.530984,-6.668138,0.001115,,,,,,,,,,,,
52,0.433333,0.00502,-0.417861,0.007015,-0.90847,1.643819,0.531102,-6.666383,0.001058,,,,,,,,,,,,
53,0.441667,0.004941,-0.417838,0.006916,-0.908482,1.642168,0.530837,-6.664835,0.00119,,,,,,,,,,,,
54,0.45,0.005241,-0.418208,0.007064,-0.908309,1.641095,0.531045,-6.662982,0.001055,,,,,,,,,,,,
55,0.458333,0.005313,-0.418425,0.007163,-0.908208,1.639706,0.531006,-6.66125,0.001051,,,,,,,,,,,,
56,0.466667,0.005502,-0.418599,0.007096,-0.908127,1.638304,0.531008,-6.659531,0.001075,,,,,,,,,,,,
57,0.475,0.005582,-0.41884,0.007219,-0.908014,1.636919,0.531024,-6.657776,0.001061,,,,,,,,,,,,
58,0.483333,0.005527,-0.418771,0.007029,-0.908048,1.635238,0.530804,-6.656169,0.001186,,,,,,,,,,,,
59,0.491667,0.00557,-0.419,0.007132,-0.907941,1.633852,0.530811,-6.654422,0.001182,,,,,,,,,,,,
60,0.5,0.005899,-0.418957,0.006548,-0.907963,1.63239,0.530724,-6.652727,0.000905,,,,,,,,,,,,
61,0.508333,0.005875,-0.41911,0.006642,-0.907892,1.630643,0.530515,-6.651067,0.000843,,,,,,,,,,,,
62,0.516667,0.006079,-0.419273,0.006337,-0.907818,1.629423,0.530643,-6.649185,0.000862,,,,,,,,,,,,
63,0.525,0.006212,-0.419595,0.006636,-0.907666,1.628083,0.530756,-6.647329,0.000896,,,,,,,,,,,,
