Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_022,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 02.49.58.611 下午,Total Frames in Take,6937,Total Exported Frames,6937,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.007136,0.736157,0.000866,0.676773,-1.339624,0.526768,-5.917958,0.000835
1,0.008333,-0.007049,0.736093,0.000827,0.676843,-1.339362,0.526802,-5.918068,0.000829
2,0.016667,-0.007029,0.736040,0.000800,0.676901,-1.339093,0.526805,-5.918180,0.000811
3,0.025000,-0.006961,0.735978,0.000754,0.676969,-1.338832,0.526817,-5.918286,0.000800
4,0.033333,-0.006949,0.735911,0.000699,0.677042,-1.338832,0.526801,-5.918331,0.001144
5,0.041667,-0.006982,0.735879,0.000703,0.677076,-1.338566,0.526780,-5.918437,0.001099
6,0.050000,-0.006894,0.736150,0.000211,0.676783,-1.338700,0.526714,-5.918282,0.001367
7,0.058333,-0.006887,0.736120,0.000174,0.676816,-1.338431,0.526716,-5.918381,0.001351
8,0.066667,-0.006834,0.736048,0.000170,0.676895,-1.338130,0.526713,-5.918484,0.001357
9,0.075000,-0.006932,0.735691,0.000675,0.677282,-1.337400,0.526728,-5.918848,0.001042
10,0.083333,-0.006892,0.735652,0.000282,0.677325,-1.337189,0.526653,-5.918880,0.001037
11,0.091667,-0.006648,0.735867,0.000072,0.677093,-1.337244,0.526707,-5.918838,0.001361
12,0.100000,-0.006605,0.735826,0.000021,0.677138,-1.336963,0.526714,-5.918941,0.001350
13,0.108333,-0.006530,0.735773,0.000008,0.677197,-1.336674,0.526719,-5.919051,0.001343
14,0.116667,-0.006136,0.735634,-0.000284,0.677351,-1.336161,0.526871,-5.919237,0.001298
15,0.125000,-0.006073,0.735542,-0.000333,0.677452,-1.335827,0.526866,-5.919364,0.001304
16,0.133333,-0.006018,0.735489,-0.000370,0.677510,-1.335532,0.526868,-5.919484,0.001306
17,0.141667,-0.006128,0.735144,-0.000248,0.677884,-1.335170,0.526845,-5.919786,0.001252
18,0.150000,-0.006076,0.735033,-0.000321,0.678005,-1.335592,0.526846,-5.919672,0.001468
19,0.158333,-0.005852,0.735353,-0.000406,0.677659,-1.334546,0.526826,-5.919820,0.001303
20,0.166667,-0.005824,0.735254,-0.000401,0.677767,-1.334171,0.526809,-5.919937,0.001305
21,0.175000,-0.006115,0.735193,-0.000171,0.677830,-1.334030,0.526673,-5.920044,0.001348
22,0.183333,-0.006272,0.734888,-0.000005,0.678160,-1.333378,0.526619,-5.920324,0.000978
23,0.191667,-0.006049,0.735073,-0.000189,0.677961,-1.333355,0.526675,-5.920302,0.001344
24,0.200000,0.006002,-0.735015,0.000197,-0.678024,-1.332962,0.526675,-5.920422,0.001341
25,0.208333,,,,,,,,
26,0.216667,0.006155,-0.734817,0.000069,-0.678237,-1.332019,0.526594,-5.920747,0.001174
27,0.225000,0.006155,-0.734744,0.000094,-0.678316,-1.331690,0.526573,-5.920870,0.001180
28,0.233333,0.005907,-0.734717,0.000246,-0.678348,-1.331561,0.526660,-5.920921,0.001339
